-,一级,二级,三级,级内,简称,网址,描述title,https://www.google.com/s2/favicons?domain=,主要关键词,次要关键词,关键词,判断网址,判断图片,其他标签,图标大小,备案/未备案,经营性/非经营性
10003-201-300-911,10003,201,300,911,中国法院网,https://www.chinacourt.org/index.shtml, ,https://www.chinacourt.org/share/images/favicon.ico,媒体,中央媒体,,999,999,,16,备案,经营
10003-201-300-912,10003,201,300,912,正义网,http://www.jcrb.com/, ,http://www.jcrb.com/favicon.ico,媒体,中央媒体,,999,,,32,备案,经营
10003-201-300-913,10003,201,300,913,中工网,http://www.workercn.cn/, ,http://www.workercn.cn/favicon.ico,媒体,中央媒体,,999,,,32,备案,经营
10003-201-300-914,10003,201,300,914,中青在线,http://www.cyol.com/, ,http://www.cyol.com/themes/cyol/assets/images/cyol/cyol_logo.png,媒体,中央媒体,,999,,,72,备案,经营
10003-201-300-915,10003,201,300,915,求是网,http://www.qstheory.cn/, ,http://www.qstheory.cn/favicon.ico,媒体,中央媒体,,999,,,16,备案,经营
20001-200-300-901,20001,200,300,901,百度搜索,http://www.baidu.com/, ,https://www.baidu.com/favicon.ico,搜索引擎,,,999,999,,64,备案,经营
20001-200-300-902,20001,200,300,902,Google搜索,https://www.google.com/, ,https://www.google.com/favicon.ico,搜索引擎,,,999,999,,32,,
20001-200-300-903,20001,200,300,903,搜狗搜索,https://www.sogou.com/, ,https://www.sogou.com/images/logo/new/favicon.ico?v=4,搜索引擎,,,999,999,,32,备案,经营
20001-201-300-900,20001,201,300,900,GIPHY,https://giphy.com/, ,https://giphy.com/static/img/favicon.png,搜索引擎,图片,,999,999,,16,,
20001-202-300-900,20001,202,300,900,鸠摩搜索,https://www.jiumodiary.com/, ,https://www.jiumodiary.com/images/favicon.png,搜索引擎,文档,,999,999,,20,,
20001-203-300-900,20001,203,300,900,6miu搜索,http://baiduyun.6miu.com/, ,http://baiduyun.6miu.com/favicon.ico,搜索引擎,百度云盘,,999,999,,32,,
20001-204-300-900,20001,204,300,900,Google 图书,https://books.google.com/,大名鼎鼎的谷歌图书，本想雄心壮志，将古今中文图书一网打尽，一统电子书江湖， 后因版权问题，搁浅。目前，除书目检索外，一些非版权电子书可全文下载，部分有版权的电子书可在线试读。,https://books.google.com/favicon.ico,搜索引擎,图书,,999,999,,,,
20005-200-300-901,20005,200,300,901,正协信息客栈,https://zhengxie.info/, ,https://zhengxie.info/common/image/favicon.ico,网址导航,,,999,999,,256,,
20005-200-300-902,20005,200,300,902,hao123,https://www.hao123.com/, ,https://www.hao123.com/favicon.ico,网址导航,,,999,999,,32,备案,经营
20005-200-300-903,20005,200,300,903,谷歌265,http://www.265.com/, ,http://www.265.com/static/pages/img/favicon.ico,网址导航,,,999,,,16,备案,经营
20005-200-300-904,20005,200,300,904,QQ导航,https://hao.qq.com/, ,https://upd33.sogoucdn.com/nstatic/img/favicon.ico?v=3,网址导航,,,999,999,,16,备案,经营
20005-200-300-905,20005,200,300,905,搜狗网址导航,https://123.sogou.com/, ,https://upd12.sogoucdn.com/nstatic/img/favicon.ico?v=3,网址导航,,,999,999,,16,备案,经营
20005-200-300-906,20005,200,300,906,360导航,https://hao.360.com/, ,https://hao.360.com/favicon.ico,网址导航,,,999,999,,16,备案,经营
20005-200-300-907,20005,200,300,907,设计导航,http://hao.shejidaren.com/, ,,网址导航,,,999,,,,备案,
20006-200-300-908,20006,200,300,908,天猫,https://www.tmall.com/, ,https://zhengxie.info/common/image/favicon/天猫32.gif,网购平台,,,999,999,,天猫32.gif,,
20006-200-300-909,20006,200,300,909,淘宝网,https://www.taobao.com/, ,https://img.alicdn.com/tfs/TB1VlKFRpXXXXcNapXXXXXXXXXX-16-16.png,网购平台,,,999,999,,16,备案,经营
20006-200-300-910,20006,200,300,910,京东,https://www.jd.com/, ,https://www.jd.com/favicon.ico,网购平台,,,999,999,,48,备案,经营
20006-200-300-911,20006,200,300,911,苏宁易购,https://www.suning.com/, ,https://www.suning.com/favicon.ico,网购平台,,,999,999,,16,备案,经营
20006-200-300-912,20006,200,300,912,拼多多,https://m.pinduoduo.com/, ,https://m.pinduoduo.com/favicon.ico,网购平台,,,999,999,,48,备案,经营
20006-200-300-912,20006,200,300,912,1号会员店,https://www.yhd.com/,,https://www.yhd.com/yhdmember/favicon.ico,网购平台,,,999,999,,16,备案,经营
20006-200-300-912,20006,200,300,912,1688,https://www.1688.com/,,https://cbu01.alicdn.com/favicon.ico?_=2020,网购平台,,,999,999,,16,备案,经营
20006-200-300-912,20006,200,300,912,Alibaba,https://www.alibaba.com/,,https://is.alicdn.com/simg/single/icon/favicon.ico,网购平台,,,999,999,,16,备案,经营
20006-200-300-912,20006,200,300,912,维品会,https://www.vip.com/,,https://www.vip.com/favicon.ico,网购平台,,,999,999,,16,备案,经营
20006-200-300-912,20006,200,300,912,当当网,http://www.dangdang.com/,,http://www.dangdang.com/favicon.ico,网购平台,,,999,999,,16,备案,经营
20006-200-300-912,20006,200,300,912,亚马逊中国,https://www.amazon.cn/,,https://www.amazon.cn/favicon.ico,网购平台,,,999,999,,48,备案,经营
20007-200-300-900,20007,200,300,900,招商银行,http://www.cmbchina.com/, ,http://www.cmbchina.com/cmb.ico,银行机构,,,999,999,,,,
20007-201-300-901,20007,201,300,901,中国人民银行,http://www.pbc.gov.cn/, ,http://www.pbc.gov.cn/rmyh/uiFramework/commonResource/image/logo.ico,银行机构,央行,,999,,,16,备案,
20007-202-300-901,20007,202,300,901,中国进出口银行,http://www.eximbank.gov.cn/, ,http://www.eximbank.gov.cn/favicon.ico,银行机构,政策,,999,,,64,备案,
20007-202-300-902,20007,202,300,902,中国农业发展银行,http://www.adbc.com.cn/, ,,银行机构,政策,,999,,,,备案,
20007-202-300-903,20007,202,300,903,国家开发银行,http://www.cdb.com.cn/, ,,银行机构,政策,,999,,,,备案,
20007-203-300-901,20007,203,300,901,中国银行,https://www.boc.cn/, ,https://www.boc.cn/favicon.ico,银行机构,国有,,999,999,,16,备案,
20007-203-300-902,20007,203,300,902,中国工商银行,http://www.icbc.com.cn/icbc/, ,https://www.google.com/s2/favicons?domain=http://www.icbc.com.cn/icbc/,银行机构,国有,,999,,,,备案,
20007-203-300-903,20007,203,300,903,中国农业银行,http://www.abchina.com/cn/, ,http://www.abchina.com/favicon.ico,银行机构,国有,,999,,,16,备案,
20007-203-300-904,20007,203,300,904,中国建设银行,http://www.ccb.com/, ,http://www.ccb.com/favicon.ico,银行机构,国有,,999,,,16,备案,
20007-203-300-905,20007,203,300,905,交通银行,http://www.bankcomm.com/, ,http://www.bankcomm.com/favicon.ico,银行机构,国有,,999,999,,16,备案,
20007-204-300-901,20007,204,300,901,中国邮政储蓄银行,http://www.psbc.com/cn/, ,https://www.google.com/s2/favicons?domain=http://www.psbc.com/cn/,银行机构,邮储,,999,,,,备案,
20007-205-300-901,20007,205,300,901,招商银行,http://www.cmbchina.com/, ,http://www.cmbchina.com/cmb.ico,银行机构,其他,,999,999,,48,备案,
20007-205-300-902,20007,205,300,902,中信银行,http://www.citicbank.com/, ,http://www.citicbank.com/favicon.ico,银行机构,其他,,999,999,,16,备案,
20007-205-300-903,20007,205,300,903,中国光大银行,http://www.cebbank.com/, ,http://www.cebbank.com/favicon.ico,银行机构,其他,,999,999,,16,备案,
20007-205-300-904,20007,205,300,904,华夏银行,https://www.hxb.com.cn/, ,https://www.hxb.com.cn/statics/hxb.ico,银行机构,其他,,999,999,,16,备案,
20007-205-300-905,20007,205,300,905,兴业银行,https://www.cib.com.cn/, ,https://www.cib.com.cn/favicon.ico,银行机构,其他,,999,999,,48,备案,
20007-205-300-906,20007,205,300,906,广发银行,http://www.cgbchina.com.cn/, ,http://www.cgbchina.com.cn/static/CN/images/favicon.ico,银行机构,其他,,999,,,16,备案,
20007-205-300-907,20007,205,300,907,中国民生银行,http://www.cmbc.com.cn/, ,http://www.cmbc.com.cn/favicon.ico,银行机构,其他,,999,999,,16,备案,
20007-205-300-908,20007,205,300,908,浦发银行,https://www.spdb.com.cn/, ,https://www.google.com/s2/favicons?domain=https://www.spdb.com.cn/,银行机构,其他,,999,,,,备案,
20007-205-300-909,20007,205,300,909,渤海银行,http://www.cbhb.com.cn, ,https://www.google.com/s2/favicons?domain=http://www.cbhb.com.cn,银行机构,其他,,999,,,,备案,
20007-205-300-910,20007,205,300,910,浙商银行,http://www.czbank.com, ,http://www.czbank.com/cn/images/favicon.ico,银行机构,其他,,999,,,48,备案,
20007-205-300-911,20007,205,300,911,北京银行,http://www.bankofbeijing.com.cn, ,https://www.google.com/s2/favicons?domain=http://www.bankofbeijing.com.cn,银行机构,其他,,999,,,,备案,
20007-205-300-912,20007,205,300,912,徽商银行,http://www.hsbank.com.cn, ,http://www.hsbank.com.cn/favicon.ico,银行机构,其他,,999,,,32,备案,
20007-205-300-913,20007,205,300,913,天津银行,http://www.tccb.com.cn, ,http://www.tccb.com.cn/images/site.ico,银行机构,其他,,999,,,126,备案,
20007-205-300-914,20007,205,300,914,上海银行,http://www.bankofshanghai.com, ,https://www.bosc.cn/favicon.ico,银行机构,其他,,999,999,,16,备案,
20007-205-300-915,20007,205,300,915,南京银行,http://www.njcb.com.cn, ,http://www.njcb.com.cn/favicon.ico,银行机构,其他,,999,,,32,备案,
20007-205-300-916,20007,205,300,916,宁波银行,http://www.nbcb.com.cn, ,http://www.nbcb.com.cn/images/favicon.ico,银行机构,其他,,999,999,,16,备案,
20007-205-300-917,20007,205,300,917,杭州银行,http://www.hccb.com.cn, ,https://www.google.com/s2/favicons?domain=http://www.hccb.com.cn,银行机构,其他,,999,,,,备案,
20007-205-300-918,20007,205,300,918,江苏银行,http://www.jsbchina.cn, ,http://www.jsbchina.cn/data/tosend/resource/template/jiangsubank/images/favicon.ico,银行机构,其他,,999,,,31,备案,
20007-205-300-919,20007,205,300,919,蒙商银行,http://www.bsb.com.cn, ,http://www.bsb.com.cn/favicon.ico,银行机构,其他,,999,,,16,备案,
20007-205-300-920,20007,205,300,920,温州银行,http://www.wzcb.com.cn, ,https://www.google.com/s2/favicons?domain=http://www.wzcb.com.cn,银行机构,其他,,999,,,,备案,
20007-205-300-921,20007,205,300,921,广州银行,http://www.gzcb.com.cn, ,https://www.google.com/s2/favicons?domain=http://www.gzcb.com.cn,银行机构,其他,,999,999,,,备案,
20007-205-300-922,20007,205,300,922,重庆银行,http://www.cqcbank.com, ,https://www.google.com/s2/favicons?domain=http://www.cqcbank.com,银行机构,其他,,999,,,,备案,
20007-205-300-923,20007,205,300,923,河北银行,http://www.hebbank.com/, ,https://www.google.com/s2/favicons?domain=http://www.hebbank.com/,银行机构,其他,,999,,,,备案,
20007-205-300-924,20007,205,300,924,青岛银行,http://www.qdccb.com, ,http://www.qdccb.com/favicon.ico,银行机构,其他,,999,,,64,备案,
20007-205-300-925,20007,205,300,925,哈尔滨银行,http://www.hrbcb.com.cn, ,https://www.google.com/s2/favicons?domain=http://www.hrbcb.com.cn,银行机构,其他,,999,,,,备案,
20007-205-300-926,20007,205,300,926,大连银行,http://www.bankofdl.com/, ,http://www.bankofdl.com/static/pc/images/favicon.ico,银行机构,其他,,999,,,32,备案,
20007-205-300-927,20007,205,300,927,恒丰银行,http://m.hfbank.com.cn/, ,https://www.hfbank.com.cn/images/favicon.ico,银行机构,其他,,999,999,,32,备案,
20007-205-300-928,20007,205,300,928,北京农商银行,http://www.bjrcb.com, ,https://www.google.com/s2/favicons?domain=http://www.bjrcb.com,银行机构,其他,,999,,,,备案,
20007-205-300-929,20007,205,300,929,上海农商银行,http://www.srcb.com, ,https://www.google.com/s2/favicons?domain=http://www.srcb.com,银行机构,其他,,999,,,,备案,
20007-205-300-930,20007,205,300,930,深圳农村商业银行,http://www.4001961200.com/, ,http://www.4001961200.com/themes/szrcb/favicon.ico,银行机构,其他,,999,,,48,备案,
20007-205-300-931,20007,205,300,931,重庆农村商业银行,http://www.cqrcb.com, ,https://www.google.com/s2/favicons?domain=http://www.cqrcb.com,银行机构,其他,,999,,,,备案,
20007-205-300-932,20007,205,300,932,广州农商银行,http://www.grcbank.com/, ,http://www.grcbank.com/styles/index/images/favicon.ico,银行机构,其他,,999,,,16,备案,
20008-200-300-901,20008,200,300,901,太平洋保险,http://www.cpic.com.cn/, ,https://www.cpiccdn.com/images/v2/favicon.gif,保险机构,,,999,999,,32,备案,
20008-200-300-902,20008,200,300,902,中国人寿,https://www.e-chinalife.com/, ,https://www.google.com/s2/favicons?domain=https://www.e-chinalife.com/,保险机构,,,999,,,,备案,
20008-200-300-903,20008,200,300,903,中国平安,https://www.pingan.com/, ,https://www.pingan.com/favicon.ico,保险机构,,,999,999,,16,备案,
20008-200-300-904,20008,200,300,904,泰康保险,http://www.taikang.com/, ,https://www.google.com/s2/favicons?domain=http://www.taikang.com/,保险机构,,,999,999,,,备案,
20008-200-300-905,20008,200,300,905,中国人民保险,https://www.picc.com/, ,https://www.picc.com/favicon.ico,保险机构,,,999,999,,16,备案,
20008-200-300-906,20008,200,300,906,新华保险,https://www.newchinalife.com/, ,https://www.newchinalife.com/favicon.ico,保险机构,,,999,999,,37,备案,
20008-200-300-907,20008,200,300,907,友邦保险,https://www.aia.com.cn/zh-cn/index.html, ,https://www.aia.com.cn/favicon.ico,保险机构,,,999,999,,16,备案,
20009-200-300-901,20009,200,300,901,国信证券,https://www.guosen.com.cn/gs/index.html, ,https://www.guosen.com.cn/favicon.ico,证券机构,,,999,999,,64,备案,
20009-200-300-902,20009,200,300,902,国泰君安证券,https://www.gtja.com/, ,https://www.google.com/s2/favicons?domain=https://www.gtja.com/,证券机构,,,999,,,,备案,
20009-200-300-903,20009,200,300,903,广发证券,http://www.gf.com.cn/, ,http://www.gf.com.cn/images/favicon.ico,证券机构,,,999,,,32,备案,
20009-200-300-904,20009,200,300,904,中国银河证券,http://www.chinastock.com.cn/, ,https://www.google.com/s2/favicons?domain=http://www.chinastock.com.cn/,证券机构,,,999,999,,,备案,
20009-200-300-905,20009,200,300,905,方正证券,https://www.foundersc.com/, ,https://www.foundersc.com/r/cms/www/default/img/logo1.ico,证券机构,,,999,999,,16,备案,
20009-200-300-906,20009,200,300,906,光大证券,http://www.ebscn.com/main/index/index.html, ,http://www.ebscn.com/favicon.ico,证券机构,,,999,,,16,备案,
20009-200-300-907,20009,200,300,907,华泰证券,https://www.htsc.com.cn/, ,https://www.htsc.com.cn/favicon.ico,证券机构,,,999,999,,16,备案,
20009-200-300-908,20009,200,300,908,安信证券,http://www.essence.com.cn/, ,http://static1.essence.com.cn/v6/img/logoico.ico,证券机构,,,999,999,,16,备案,
20009-200-300-909,20009,200,300,909,西部证券,http://www.west95582.com/jdw/index.html, ,http://www.west95582.com/jdw/images/favicon.ico,证券机构,,,999,999,,32,备案,
20009-200-300-910,20009,200,300,910,中信证券,http://www.cs.ecitic.com/newsite/, ,http://www.cs.ecitic.com/newsite/favicon.ico,证券机构,,,999,,,16,备案,
20009-200-300-911,20009,200,300,911,国海证券,http://www.ghzq.com.cn/, ,https://www.google.com/s2/favicons?domain=http://www.ghzq.com.cn/,证券机构,,,999,999,,,备案,
20010-200-300-901,20010,200,300,901,QQ邮箱,https://mail.qq.com/, ,https://mail.qq.com/zh_CN/htmledition/images/favicon/qqmail_favicon_32h.png,邮箱,,,999,999,,32,备案,
20010-200-300-902,20010,200,300,902,Foxmail,https://www.foxmail.com/, ,https://www.foxmail.com/favicon.ico,邮箱,,,999,999,,32,备案,
20010-200-300-903,20010,200,300,903,Gmail,https://mail.google.com/, ,https://ssl.gstatic.com/ui/v1/icons/mail/rfr/gmail.ico,邮箱,,,999,999,,256,,
20010-200-300-904,20010,200,300,904,Outlook,https://outlook.live.com/, ,https://outlook-1.cdn.office.net/owamail/20210315003.14/resources/images/favicons/mail-seen.ico,邮箱,,,999,999,,32,备案,
20010-200-300-905,20010,200,300,905,新浪邮箱,https://mail.sina.com.cn/, ,https://mail.sina.com.cn/favicon.ico,邮箱,,,999,999,,32,,
20010-200-300-906,20010,200,300,906,雅虎Yahoo,https://login.yahoo.com/, ,https://s.yimg.com/wm/mbr/images/yahoo-favicon-img-v0.0.2.ico,邮箱,,,999,999,,16,备案,
20010-200-300-907,20010,200,300,907,网易yeah.net,https://www.yeah.net/, ,,邮箱,,,999,,,,备案,
20010-200-300-908,20010,200,300,908,网易126邮箱,http://www.126.com/, ,https://www.google.com/s2/favicons?domain=http://www.126.com/,邮箱,,,999,,,,备案,
20010-200-300-909,20010,200,300,909,网易163邮箱,https://mail.163.com/, ,https://www.google.com/s2/favicons?domain=https://mail.163.com/,邮箱,,,999,,,,备案,
20011-201-300-901,20011,201,300,901,故宫壁纸,https://www.dpm.org.cn/lights/royal.html, ,https://www.dpm.org.cn/favicon.ico,图片,,,999,999,,32,备案,
20011-201-300-902,20011,201,300,902,极简壁纸,https://bz.zzzmh.cn/, ,https://bz.zzzmh.cn/favicon.ico,图片,壁纸,,999,999,,32,备案,
20011-201-300-903,20011,201,300,903,云淡风轻,https://bing.ioliu.cn/,必应每日高清壁纸，图片来自必应搜索。,https://bing.ioliu.cn/static/images/bing.ico,图片,壁纸,,999,999,,32,,
20011-201-300-904,20011,201,300,904,wallhaven,https://wallhaven.cc/, ,https://wallhaven.cc/favicon.ico,图片,壁纸,,999,999,,16,备案,
20011-201-300-905,20011,201,300,905,NET牛人,https://ss.netnr.com/wallpaper, ,https://ss.netnr.com/favicon.ico,图片,壁纸,,999,999,,64,备案,
20011-201-300-906,20011,201,300,906,图片瀑布,https://joer.ru/, ,https://joer.ru/favicon.ico,图片,壁纸,,999,999,,16,备案,
20011-202-300-901,20011,202,300,901,Pexels,https://www.pexels.com/zh-cn/,免费素材图片,https://www.pexels.com/favicon.ico,图片,素材,,999,999,,64,,
20011-203-300-901,20011,203,300,901,狗图网,https://www.gooico.com/, ,https://www.gooico.com/favicon.ico,图片,图标,,999,999,,32,备案,
20011-204-300-901,20011,204,300,901,小歪API,https://api.ixiaowai.cn/, ,,图片,API,,999,,,,备案,
20012-200-300-901,20012,200,300,901,阿里云,https://cn.aliyun.com/, ,https://img.alicdn.com/tfs/TB1_ZXuNcfpK1RjSZFOXXa6nFXa-32-32.ico,云服务,,,999,999,,32,备案,经营
20012-200-300-902,20012,200,300,902,腾讯云,https://cloud.tencent.com/, ,https://cloud.tencent.com/favicon.ico?t=201902181234,云服务,,,999,999,,32,备案,经营
20012-200-300-903,20012,200,300,903,百度云,https://cloud.baidu.com/, ,https://bce.bdstatic.com/img/favicon.ico,云服务,,,999,999,,128,备案,经营
20012-200-300-904,20012,200,300,904,华为云,https://www.huaweicloud.com/, ,https://res-static3.huaweicloud.com/content/dam/cloudbu-site/archive/commons/web_resoure/framework/favicon/favicon.ico?sttl=202012172120,云服务,,,999,999,,16,备案,经营
20012-200-300-905,20012,200,300,905,AWS,https://aws.amazon.com/cn/, ,https://a0.awsstatic.com/libra-css/images/site/fav/favicon.ico,云服务,,,999,999,,16,,
20012-200-300-906,20012,200,300,906,Google Cloud,https://cloud.google.com/, ,https://www.gstatic.com/devrel-devsite/prod/v3069b08f6c9d146fa6a9c7f184b2836998ab5f12cefec1342a7bf6dca024aa94/cloud/images/favicons/onecloud/favicon.ico,云服务,,,999,999,,32,,
20013-200-300-901,20013,200,300,901,Google AdSense,https://www.google.com/adsense/, ,https://ssl.gstatic.com/adsense/apps/static/bidi/adsense3_antipasti_server_20210317-12_RC00/common/resources/favicon.ico,Google,,,999,999,,32,,
20013-200-300-902,20013,200,300,902,翻译,https://translate.google.cn/, ,https://ssl.gstatic.com/translate/favicon.ico,Google,,,999,999,,64,,
20013-200-300-903,20013,200,300,903,Google Cloud,https://cloud.google.com/, ,https://www.gstatic.com/devrel-devsite/prod/v3069b08f6c9d146fa6a9c7f184b2836998ab5f12cefec1342a7bf6dca024aa94/cloud/images/favicons/onecloud/favicon.ico,Google,,,999,999,,32,,
20013-200-300-904,20013,200,300,904,Google搜索,https://www.google.com/, ,https://www.google.com/favicon.ico,Google,,,999,999,,32,,
20013-200-300-905,20013,200,300,905,云端硬盘,https://drive.google.com/, ,https://ssl.gstatic.com/images/branding/product/1x/drive_2020q4_32dp.png,Google,,,999,999,,32,,
20013-200-300-906,20013,200,300,906,Gmail,https://mail.google.com/, ,https://ssl.gstatic.com/ui/v1/icons/mail/rfr/gmail.ico,Google,,,999,999,,256,,
20014-200-300-901,20014,200,300,901,百度统计,https://tongji.baidu.com/, ,https://tongji.baidu.com/favicon.ico,百度,,,999,999,,32,,
20014-200-300-902,20014,200,300,902,百度贴吧,https://tieba.baidu.com/, ,https://tb1.bdstatic.com/tb/favicon.ico,百度,,,999,999,,64,,
20014-200-300-903,20014,200,300,903,百度搜索,http://www.baidu.com/, ,https://www.baidu.com/favicon.ico,百度,,,999,999,,64,,
20014-200-300-904,20014,200,300,904,百度指数,http://index.baidu.com/, ,https://www.baidu.com/favicon.ico,百度,,,999,999,,64,,
20014-200-300-905,20014,200,300,905,百度网盘,https://pan.baidu.com/, ,https://pan.baidu.com/m-static/base/static/images/favicon.ico,百度,,,999,999,,32,,
20014-200-300-906,20014,200,300,906,百度贴吧,https://tieba.baidu.com/, ,https://tb1.bdstatic.com/tb/favicon.ico,百度,,,999,999,,64,,
20014-200-300-907,20014,200,300,907,百度图片,https://image.baidu.com/,,https://www.baidu.com/cache/icon/favicon.ico,百度,,,999,999,,64,,
20014-200-300-908,20014,200,300,908,百度地图,https://map.baidu.com/,,https://map.baidu.com/favicon.ico,百度,,,999,999,,64,,
20015-200-300-901,20015,200,300,901,斗鱼,https://www.douyu.com/, ,https://www.douyu.com/favicon.ico,直播,,,999,999,,48,,
20015-200-300-902,20015,200,300,902,YY,https://www.yy.com/, ,https://www.yy.com/favicon.ico,直播,,,999,999,,16,,
20015-200-300-903,20015,200,300,903,六间房,https://www.6.cn/, ,https://vr0.xiu123.cn/imges/favicon.ico,直播,,,999,999,,32,,
20015-200-300-904,20015,200,300,904,NOW直播,https://now.qq.com/, ,https://now.qq.com/favicon.ico,直播,,,999,999,,16,,
20015-200-300-905,20015,200,300,905,搜狗直播,http://show.sogou.com/, ,,直播,,,999,,,,,
20015-200-300-906,20015,200,300,906,战旗TV,https://www.zhanqi.tv/, ,,直播,,,999,,,,,
20015-200-300-907,20015,200,300,907,龙珠直播,http://longzhu.com/, ,,直播,,,999,,,,,
20015-200-300-908,20015,200,300,908,火猫直播,http://www.huomao.com/, ,http://www.huomao.com/favicon.ico,直播,,,999,999,,32,,
20015-200-300-909,20015,200,300,909,虎牙直播,https://www.huya.com/, ,https://www.huya.com/favicon.ico,直播,,,999,999,,32,,
20015-200-300-910,20015,200,300,910,哔哩哔哩直播,https://live.bilibili.com/, ,https://www.bilibili.com/favicon.ico,直播,,,999,999,,32,,
20015-201-300-901,20015,201,300,901,CCTV央视频道,https://tv.cctv.com/live/,,,直播,网络电视,,,,,,,
20016-200-300-901,20016,200,300,901,网易云课堂,https://study.163.com/, ,https://study.163.com/favicon.ico,在线教育,,,999,999,,16,,
20016-200-300-902,20016,200,300,902,中国大学MOOC,https://www.icourse163.org/, ,https://edu-image.nosdn.127.net/32a8dd2a-b9aa-4ec9-abd5-66cd8751befb.png?imageView&quality=100,在线教育,,,999,999,,64,,
20017-200-300-901,20017,200,300,901,豆瓣网,https://www.douban.com/, ,https://www.douban.com/favicon.ico,社区,,,999,999,,32,,
20017-200-300-902,20017,200,300,902,V2EX,https://www.v2ex.com/, ,https://www.v2ex.com/static/favicon.ico,社区,,,999,999,,32,,
20017-200-300-903,20017,200,300,903,知乎,https://zhihu.com/, ,https://static.zhihu.com/heifetz/favicon.ico,社区,,,999,999,,32,,
20017-200-300-904,20017,200,300,904,CSDN,https://www.csdn.net/, ,https://g.csdnimg.cn/static/logo/favicon32.ico,社区,,,999,999,,32,,
20017-200-300-905,20017,200,300,905,简书,https://www.jianshu.com/, ,https://cdn2.jianshu.io/assets/favicons/favicon-e743bfb1821442341c3ab15bdbe804f7ad97676bd07a770ccc9483473aa76f06.ico,社区,,,999,,,32,,
20017-200-300-906,20017,200,300,906,微博,https://weibo.com/, ,https://weibo.com/favicon.ico,社区,,,999,999,,32,,
20017-200-300-907,20017,200,300,907,果壳,https://www.guokr.com/,科技有意思 · 果壳走着瞧,https://www.guokr.com/favicon.ico,社区,,,999,999,,32,,
20017-200-300-908,20017,200,300,908,虎扑,https://www.hupu.com/,,https://w1.hoopchina.com.cn/images/pc/old/favicon.ico,社区,,,999,999,,32,,
20018-200-300-901,20018,200,300,901,SOOMAL,http://www.soomal.com/, ,http://www.soomal.com/favicon.ico,评测,,,999,,,16,,
20018-200-300-901,20018,200,300,901,BOSS直聘,https://www.zhipin.com/,,https://www.zhipin.com/favicon.ico,人力资源,,,999,999,,16,,
20018-200-300-902,20018,200,300,902,拉勾,https://www.lagou.com/,,https://www.lgstatic.com/lg-www-fed/common/static/favicon_faed927.ico,人力资源,,,999,999,,16,,
20018-200-300-903,20018,200,300,903,猎聘,https://www.liepin.com/,,https://concat.lietou-static.com/fe-www-pc/v5/static/favicon.e6edbc00.ico,人力资源,,,999,999,,32,,
20018-200-300-904,20018,200,300,904,大街,https://www.dajie.com/,,https://assets.dajieimg.com/images/favicon.ico,人力资源,,,999,999,,16,,
20018-200-300-905,20018,200,300,905,兼职猫,https://www.jianzhimao.com/,,https://oss.aliyuncs.com/jianzhimao/web-res/icon/jianzhimao-logo-min.png?version=20210316..$[+1],人力资源,,,999,999,,60,,
20018-200-300-906,20018,200,300,906,CSDN,https://job.csdn.net/,,https://job.csdn.net/favicon.ico,人力资源,,,999,999,,64,,
20018-200-300-907,20018,200,300,907,乔布简历,http://cv.qiaobutang.com/,,http://cv.qiaobutang.com/favicon.ico,人力资源,,,999,999,,16,,
20018-200-300-908,20018,200,300,908,智联招聘,https://www.zhaopin.com/,,https://common-bucket.zhaopin.cn/img/zhilian-ico/zhilian-ico-1.0.0.png,人力资源,,,999,999,,48,,
20018-200-300-909,20018,200,300,909,前程无忧,https://www.51job.com/,,https://www.51job.com/favicon.ico,人力资源,,,999,999,,16,,
20019-200-300-901,20019,200,300,901,网易云音乐,https://music.163.com/, ,https://s1.music.126.net/style/favicon.ico?v20180823,音乐,,,999,999,,32,,
20019-200-300-902,20019,200,300,902,千千音乐,https://music.taihe.com/, ,https://music.taihe.com/favicon.ico,音乐,,,999,999,,32,,
20019-200-300-903,20019,200,300,903,音乐Tai,https://www.yinyuetai.com/,,https://www.yinyuetai.com/favicon.ico,音乐,,,999,999,,16,,
20100-200-300-901,20100,200,300,901,芒果TV,https://www.mgtv.com/, ,https://www.mgtv.com/favicon.ico,视频,,,999,999,,16,,
20100-200-300-902,20100,200,300,902,优酷,https://www.youku.com/, ,https://img.alicdn.com/tfs/TB1WeJ9Xrj1gK0jSZFuXXcrHpXa-195-195.png,视频,,,999,999,,195,,
20100-200-300-903,20100,200,300,903,腾讯视频,https://v.qq.com/, ,https://v.qq.com/favicon.ico,视频,,,999,999,,32,,
20100-200-300-904,20100,200,300,904,iQIYI,https://www.iq.com/, ,https://www.iqiyipic.com/common/images/logo.ico,视频,,,999,999,,256,,
20100-200-300-905,20100,200,300,905,土豆,https://www.tudou.com/, ,https://img.alicdn.com/tfs/TB1Pd4JZ.z1gK0jSZLeXXb9kVXa-32-32.png,视频,,,999,999,,32,,
20100-200-300-906,20100,200,300,906,豆瓣电影,https://movie.douban.com/, ,https://img9.doubanio.com/favicon.ico,视频,,,999,999,,32,,
20100-200-300-907,20100,200,300,907,风行网,http://www.fun.tv/, ,,视频,,,999,,,,,
20100-200-300-908,20100,200,300,908,360影视,http://www.360kan.com/, ,http://www.360kan.com/favicon.ico,视频,,,999,999,,16,,
